Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.05_15.08.41,-8.655394,52.138499,23,B,1,LTE,-94,-12,6.0,7,-80,8566,157,D,-99.0,-17.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.42,-8.655394,52.138499,23,B,1,LTE,-94,-12,6.0,5,-82,11060,205,D,-99.0,-17.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.43,-8.655394,52.138499,23,B,1,LTE,-94,-12,6.0,7,-77,15254,281,D,-99.0,-17.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.44,-8.655394,52.138499,23,B,1,LTE,-94,-12,6.0,6,-73,16619,309,D,-99.0,-17.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.46,-8.655394,52.138499,23,B,1,LTE,-91,-11,7.0,6,-73,15590,288,D,-95.0,-16.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.47,-8.655394,52.138499,23,B,1,LTE,-91,-11,7.0,6,-76,9931,183,D,-95.0,-16.0,-8.654332,52.135921,295.68000000000001
2018.02.05_15.08.48,-8.655394,52.138499,23,B,3,LTE,-88,-12,0.0,6,-71,14092,581,D,-95.0,-16.0,-8.646638,52.129457,1169.6300000000001
2018.02.05_15.08.52,-8.655394,52.138499,23,B,3,LTE,-90,-14,-1.0,7,-76,39401,651,D,-93.0,-13.0,-8.646638,52.129457,1169.6300000000001
2018.02.05_15.08.53,-8.655394,52.138499,23,B,3,LTE,-90,-14,-1.0,7,-76,42009,646,D,-93.0,-13.0,-8.646638,52.129457,1169.6300000000001
2018.02.05_15.08.54,-8.655394,52.138499,23,B,3,LTE,-94,-14,-1.0,7,-76,39580,565,D,-93.0,-12.0,-8.646638,52.129457,1169.6300000000001
2018.02.05_15.08.55,-8.655394,52.138499,23,B,3,LTE,-94,-14,-1.0,8,-78,45496,730,D,-93.0,-12.0,-8.646638,52.129457,1169.6300000000001
2018.02.05_15.08.59,-8.655394,52.138499,23,B,3,LTE,-89,-13,5.0,7,-67,29827,542,D,-94.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.00,-8.655394,52.138499,23,B,3,LTE,-89,-13,5.0,7,-67,22289,403,D,-94.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.25,-8.655394,52.138499,23,B,3,LTE,-95,-13,9.0,9,-78,12358,228,D,-97.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.27,-8.655394,52.138499,23,B,3,LTE,-95,-13,9.0,12,-68,21674,401,D,-97.0,-18.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.37,-8.655394,52.138499,23,B,3,LTE,-103,-14,5.0,6,-86,4484,156,D,-108.0,-19.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.38,-8.655394,52.138499,23,B,3,LTE,-103,-14,2.0,6,-90,5267,299,D,-108.0,-19.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.39,-8.655394,52.138499,23,B,3,LTE,-107,-14,2.0,6,-90,6520,119,D,-104.0,-13.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.40,-8.655394,52.138499,23,B,3,LTE,-107,-14,2.0,6,-90,6509,121,D,-104.0,-13.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.41,-8.655394,52.138499,23,B,3,LTE,-106,-13,3.0,6,-90,8600,159,D,-112.0,-19.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.43,-8.655394,52.138499,23,B,3,LTE,-107,-13,4.0,6,-90,6184,116,D,-112.0,-20.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.44,-8.655394,52.138499,23,B,3,LTE,-107,-13,4.0,5,-92,5066,195,D,-112.0,-20.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.46,-8.655394,52.138499,23,B,3,LTE,-109,-14,1.0,5,-92,6866,215,D,-114.0,-19.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.47,-8.655394,52.138499,23,B,3,LTE,-109,-14,1.0,5,-92,4484,83,D,-114.0,-19.0,-8.662968,52.126101,1472.3399999999999
2018.02.05_15.09.48,-8.655394,52.138499,23,B,3,LTE,-108,-13,1.0,6,-94,4529,166,D,-112.0,-18.0,-8.662968,52.126101,1472.3399999999999
